"","MovieTitle","Reviewer","ReviewDate","Stars","Textreview","TitleReview"
"1","6. Schindler's List","Gordon-11","19 October 2009","","This film tells the story of Nazi officer Oskar Schindler, who secretly saved hundreds of Jewish people from concentration camps.I have wanted to watch ""Schindler's List"" for years, but could not bring myself to do so because I don't want to be disappointed. ""Schindler's List"" is phenomenally powerful and effective in portraying the historical atrocities. I believe no one can keep their eyes dry from Schindler's List"". The scene involving mothers running after trucks of children is particularly memorable. The final farewell scene is very emotional for me. It is rare achievement, but ""Schindler's List"" is a three hour film that feels too short."," A three hour film that feels too short"
"2","6. Schindler's List","ebiros2","17 October 2005","10/10","The movie started out pretty innocently, and for the first 20 minutes, I was wondering where the movie was going. Then it started to happen. The horrible cruelty of concentration camps. Oskar Schindler is an example of a man that no matter what the situation, there are people who won't go along with the cruelty of society. I'm sure it took courage to do what he did, because one wrong move and you'll be dead.Movie brought to life this great man who really shouldn't be forgotten, and thanks to Steven Spielberg, I think he'll be remembered for generations to come. Movie like this should be made once in a while. Not that movie should be used for evangelistic purposes but some story should be told well, and movie is still the best vehicle to do so.I still think that Oskar Shindler's last words in this movie was one of the best dialog in movie history - ""Why did I keep this badge ? I could have saved a person. Why did I keep this car ?, I could have saved five more people."""," Awesome"
"3","6. Schindler's List","Sleepin_Dragon","26 January 2023","","Businessman Oskar Schindler saved the lives of many Jews, by employing them in his factories, this saving them from going to The Concentration Camps.This was, and will forever be, one of the best films ever made, not just the ultimate story of The Holocaust, but truly as masterpiece, one of the best.If you can sit through it without being moved to the point of tears, you're made of stronger stuff than I am, the atrocities committed on those innocent people will never be forgotten. The realisation here is chilling.The film's pacing is quite remarkable, it's a three hour film that flashes by quickly, but it's three hours that will live with you forever, some of the scenes will rightly never be forgotten.What has always struck me, is the way that everything became normalised, people first losing their businesses, their homes, their freedom, and ultimately their lives, it is truly one of the bleakest points in human history, that's what this film details perfectly.The Cinematography is incredible, it's understated, but perfect, fits the film perfectly, the sheer scale of it is so impressive. The scene with the little girl in the red coat has always been one of the standout moments.No wonder it won a string of Oscars, the acting is outstanding throughout, I have always regarded this is Liam Neeson's best ever performance, but Ben Kingsley and Ralph Fiennes are remarkable also.It's a film that informs, moves, and makes you think in equal measures. If you think it's going to be too much, I'd say this, it is very upsetting at times, but it does also give some real glimpses of hope, the remarkable human spirit.A jaw dropping, powerful movie, it's one of the best ever made.10/10."," One of the best movies ever made."
"4","6. Schindler's List","Fella_shibby","9 September 2013","10/10","Schindler's List is undoubtedly the best Holocaust film ever made. There just isn't anything like this film. Various other films have tried to show the true horrors of the Holocaust, but none of them succeeded the way that Schindler's List did. Schindler's List is a difficult film to watch. When you see the true atrocities of the Holocaust, your jaw drops. When you see the pain that all of the innocent people were going through, the only thing you can do is cry. The true goal of all Holocaust films is to make you feel sorrowful, and Schindler's List did that to me. If you want to see the best depiction of the Holocaust, make your way towards Schindler's List.
Me n my kids cried during the pit scene."," Bring me the heads of Hitler, Himmler, Eichmann n Mengele."
"5","6. Schindler's List","EVON1TY","2 March 2023","","As you may know there is lots of World War II movies. Some of them shows you the worst parts of war, this one is doing something better.Shows you the war is bad for everyone. Shows you een the little kindness is the greatest thing. Shows you ""Whoever saves one life, saves the world entirely.""I saw so many World War II movies, non of them gave me these feelings. Most of them are just too sided with USA. Some of them just made with fictional characters. And I don't know how but some of them says war is a good thing if you're shooting bad people.Besides one of the greatest historical Screenplay, the Acting Performances just superb. I don't imagine any better casting for any character. They all chosen well. With Liam Neeson's Schindler, Ben Kingsley's Stern and the great villain Ralp Fiennes' Amon Goth.Scores is the soul of the movie. John Williams mades you feel that.Cinematography is too great, watching this movie with these colors makes the movie too much realistic. I don't know how is it doing that. I know some of the movies are trying that when flashback scenes are coming, but most of them are not being successful at.Art Direction and Set Decoration is also too varied. They managed to do an enormous job. You feel the greatness in the movie with varied places and objects."," Whoever saves one life, saves the world entirely. ⭐"
"6","6. Schindler's List","mark.waltz","29 August 2014","10/10","History has proved that the old saying, ""God makes mad first whom he intends to destroy"", and in the case of Nazi Ralph Fiennes in this Steven Spielberg masterpiece, that is oh, so true. Unfortunately, a lot of innocent people have to pay for that madness in the meanwhile, and that truly adds to the intensity of his madness as it increases and his vileness just gets more and more out of control.On the other end of the spectrum is Liam Neeson's Oscar Schindler, a businessman who knows by allowing the Nazis to take his Jewish workers away, his productivity will suffer. Selfish motives keep these innocent people from being sent to the death camps, and as Schindler learns the truth about the atrocities going on and becomes closer to the people who work very hard for him, he goes out of his way to keep the Nazis from going through with their evil plans.The atrocities you see here are things we can't fathom here in America. Innocent children are forced to hide in human waste to avoid discovery. An innocent woman prisoner with a background in architecture is brutally murdered after insisting that a building being constructed is doomed to collapse, after which the evil Fiennes simply orders his men to do what she suggested. Fiennes picks targets and guns them down, and also has Schindler's aged workers killed simply because he considers them too old to contribute. An innocent young girl in a red coat (the only color in this black and white movie) wanders around Warsaw as the ghetto is destroyed. Neeson almost looses his right-hand man (a magnificent Ben Kingsley) because of a paperwork mix-up. This culminates in the most daring of escapes from Nazi persecution, and that is where Neeson realizes the full effect of what's going on, breaking down in a scene that will have you shivering in your seat.I can't watch these movies without the temptation to scream at the Nazis on screen. Even in the most outlandish propaganda films of the war era, I tended to either applaud loudly or scream in delight ""Die, Nazi, Die!"" as the villain gets their come-uppance, either through brutal murder or the firing squad after a lengthy trial revealed their shame. Many of those times, my body was shaking so violently as sobs emerged from me that I was unaware I was capable of. You can't call these feelings manipulation by the direction; Spielberg obviously felt a passion for the story he was telling, as if he knows that this can cross over into any race, any culture, any religion.Rarely in recent movie history has it been so obvious when a film was released that it would sweep the Academy Awards, and ""Schindler's List"" truly deserved every honor which it received. Some stories are so painful that you can't go back and watch them easily; I find that every so often, I need a movie like ""Schindler's List"" to remind me of how vile humanity can be, and how one compassionate human being can change the course of history for so many. The finale with real-life ""Schindler Jews"" honoring their hero is truly awe inspiring and is certainly what you can call triumph over tragedy."," You don't have to be Jewish to be touched by this response to inhumanity."
"7","6. Schindler's List","SnoopyStyle","23 March 2014","","Oskar Schindler (Liam Neeson) is a social climbing opportunistic womanizing German businessman. He charms important Nazis, and gets access to limitless Jewish labor. He gets Itzhak Stern (Ben Kingsley) as his right hand man, and Jewish money to pay for his business. He provides the front. Using black market deals and advantageous connections, he becomes rich and powerful. Stern works tirelessly to save people. Even as the Jews are rounded up to Plaszow labor camp under the command of unstable Amon Goeth (Ralph Fiennes), Schindler is able to befriend the mad commander.This is probably the most important movie of director Steven Spielberg's career. At least it's the most important for him. Based on the true story, Spielberg uses all his movie making skills to create this iconic movie. The black and white provides starkness and thankfully a little bit of distance from the horrible events. Liam Neeson and Ben Kingsley are the perfect duo. Ralph Fiennes gives a complex performance as the mad commander. The shock of the horrors of the Holocaust is expertly done. When I first saw it in the theater, I couldn't help sob a little when Schindler breaks down at the end."," Spielberg's most important work"
"8","6. Schindler's List","vtburns","11 December 2000","10/10","I have only ever seen this film once, I only ever want to see this film once and I will only ever need to see this film once. It is etched on my mind. I, like many others, left in silence.  I could not imagine inventing a critical analysis of this film, picking small points of detail or of style, or even scoring points off the Director. It stands alone as a monumental piece of cinema, a magnificent accomplishment."," A SINGULAR ACHIEVEMENT"
"9","6. Schindler's List","giraffelover","29 September 1998","","I've seen this film one time in 1994. This is one of the best movies ever made, but many scenes of the film are so brutal, that I'm afraid to see this film for a second time."," The most shattering film of all time."
"10","6. Schindler's List","padawanmovies","16 August 2017","10/10","To all the ppl on the 1st four review pages, u r all idiots... To say that this movie's overrated and one sided makes u all seem naive. This is an emotional movie that emphasizes one of the worst periods in the history of mankind. I'm a big list person so anytime there's a list of the 10, 20, 50 best(fill in the blank) I must check it out. Now usually I'll take a gander at something jus so I can try to understand y it's considered great: 2 in particular I'm not a fan of include Pulp Fiction and Annie Hall. But I digress, this movie was well worth the years it took me to finally watch, had it on the DVR since March. All of the acting is absolutely stellar. I would say I hope an amazing story told on celluloid would encourage people to treat one another better, but given the state of things in parts of the world I'll say we're a long way from that. ONE OF THE MOST GUT WRENCHING MOVIES I'VE EVER SEEN"," What he hell is wrong with the people that commented on the 1st 4 pages of reviews???"
